"ID";"Woningkenmerken";"RegioS";"Perioden";"GemiddeldAardgasverbruik_1";"GemiddeldElektriciteitsverbruik_2";"Stadsverwarming_3"
"122";"T001100";"PV30  ";"2012JJ00";"    1600";"    3550";"     5.3"
"123";"T001100";"PV30  ";"2013JJ00";"    1700";"    3450";"     5.0"
"124";"T001100";"PV30  ";"2014JJ00";"    1250";"    3350";"     4.8"
"125";"T001100";"PV30  ";"2015JJ00";"    1340";"    3290";"     5.5"
"126";"T001100";"PV30  ";"2016JJ00";"    1380";"    3230";"     5.5"
"127";"T001100";"PV30  ";"2017JJ00";"    1320";"    3190";"     5.5"
"128";"T001100";"PV31  ";"2010JJ00";"    2150";"    3550";"       ."
"129";"T001100";"PV31  ";"2011JJ00";"    1650";"    3450";"       ."
"130";"T001100";"PV31  ";"2012JJ00";"    1750";"    3450";"     1.0"
"131";"T001100";"PV31  ";"2013JJ00";"    1850";"    3400";"     0.9"
"132";"T001100";"PV31  ";"2014JJ00";"    1350";"    3250";"     0.9"
"133";"T001100";"PV31  ";"2015JJ00";"    1450";"    3170";"     1.0"
"134";"T001100";"PV31  ";"2016JJ00";"    1510";"    3110";"     1.0"
"135";"T001100";"PV31  ";"2017JJ00";"    1450";"    3080";"     1.0"
"136";"T001100";"PVZZ  ";"2010JJ00";"";"";""
"137";"T001100";"PVZZ  ";"2011JJ00";"";"";""
"138";"T001100";"PVZZ  ";"2012JJ00";"";"";""
"139";"T001100";"PVZZ  ";"2013JJ00";"";"";""
"140";"T001100";"PVZZ  ";"2014JJ00";"";"";""
"141";"T001100";"PVZZ  ";"2015JJ00";"";"";""
"142";"T001100";"PVZZ  ";"2016JJ00";"";"";""
"143";"T001100";"PVZZ  ";"2017JJ00";"";"";""
"144";"T001100";"PV98  ";"2010JJ00";"";"";""
"145";"T001100";"PV98  ";"2011JJ00";"";"";""
"146";"T001100";"PV98  ";"2012JJ00";"";"";""
"147";"T001100";"PV98  ";"2013JJ00";"";"";""
"148";"T001100";"PV98  ";"2014JJ00";"";"";""
"149";"T001100";"PV98  ";"2015JJ00";"";"";""
"150";"T001100";"PV98  ";"2016JJ00";"";"";""
"151";"T001100";"PV98  ";"2017JJ00";"";"";""
"152";"T001100";"PV99  ";"2010JJ00";"";"";""
"153";"T001100";"PV99  ";"2011JJ00";"";"";""
"154";"T001100";"PV99  ";"2012JJ00";"";"";""
"155";"T001100";"PV99  ";"2013JJ00";"";"";""
"156";"T001100";"PV99  ";"2014JJ00";"";"";""
"157";"T001100";"PV99  ";"2015JJ00";"";"";""
"158";"T001100";"PV99  ";"2016JJ00";"";"";""
"159";"T001100";"PV99  ";"2017JJ00";"";"";""
"160";"T001100";"CR01  ";"2010JJ00";"";"";""
"161";"T001100";"CR01  ";"2011JJ00";"";"";""
"162";"T001100";"CR01  ";"2012JJ00";"";"";""
"163";"T001100";"CR01  ";"2013JJ00";"";"";""
"164";"T001100";"CR01  ";"2014JJ00";"";"";""
"165";"T001100";"CR01  ";"2015JJ00";"";"";""
"166";"T001100";"CR01  ";"2016JJ00";"";"";""
"167";"T001100";"CR01  ";"2017JJ00";"";"";""
"168";"T001100";"CR02  ";"2010JJ00";"";"";""
"169";"T001100";"CR02  ";"2011JJ00";"";"";""
"170";"T001100";"CR02  ";"2012JJ00";"";"";""
